post_id,chunk_num,cluster,z0,z1,z2,z3,z4
lap5k7,0,33,11.694533,9.898738,10.692336,0.94291246,8.149305
l7235a,0,-1,11.098642,8.837197,10.86885,1.7161081,8.071502
l703jx,0,-1,9.994679,9.12967,11.817451,1.0969958,8.3473015
l8satq,0,27,11.639512,10.753447,9.588139,0.44482732,10.500484
lb1b6w,0,27,11.198566,11.200932,10.093969,0.011270888,10.057345
l7948g,1,-1,10.474576,10.162196,10.727975,1.2003055,8.865242
l84pbe,5,-1,10.13604,9.854425,10.880553,1.3021355,8.175398
l72vai,1,33,11.583013,9.135447,11.207828,0.46292552,7.879797
l6yyvw,0,-1,11.021853,9.273534,10.760014,1.8974247,8.142986
l84bki,0,33,9.330841,10.065292,12.082114,0.76624244,8.593183
l72xl1,0,-1,10.948867,9.676015,11.314357,1.0428258,8.233954
lb2zc6,9,15,8.723386,12.346643,9.060312,0.15570417,9.170784
l6zhl5,0,15,8.12817,12.0510645,9.455164,0.22825998,8.328799
lc5666,2,-1,11.34959,9.178901,10.753356,-0.39435586,8.189192
laxviv,4,33,10.112366,9.348873,11.857637,0.12589708,7.5841694
l705ke,0,15,8.64306,12.607021,8.821693,0.38789308,9.030921
l6zp2w,0,33,9.939714,9.194987,11.493372,-0.29131043,8.0433235
l72485,1,-1,8.519772,9.986314,11.643611,-1.490931,6.8079524
l6ywmf,0,-1,9.334714,10.302845,11.955965,-0.7359435,7.2418675
laj28u,0,27,11.947663,10.895668,9.635276,0.9160633,10.294614
l6z0gv,0,15,7.4051876,12.057477,10.387401,1.1026253,8.849053
lbduj2,5,27,11.766356,10.922697,9.542758,1.1630726,10.249563
l8e767,2,-1,9.327568,9.601318,11.755913,0.10472311,8.1640415
l71jig,0,30,10.396925,9.42762,9.896445,1.2270348,8.045779
l72gfk,0,15,8.486978,11.8432455,9.489801,0.26083654,7.866028
lbpt4m,5,-1,10.981074,9.014896,11.422618,0.028977223,8.217099
l6zwxg,0,15,7.864362,12.364533,9.018509,0.5253448,8.238094
laoy1b,7,15,8.654956,11.865185,9.322768,0.08624181,9.2203455
l712o0,0,15,8.676996,11.998401,9.107258,0.46698493,8.141156
l8ek8e,1,33,10.2073,9.479796,11.039413,1.8315942,8.678405
l6yw1r,0,15,8.693659,12.526779,8.79617,0.24818662,8.910616
l84pbe,2,11,8.025253,10.438335,10.963232,0.56598157,6.8864403
l8sa41,0,33,9.053085,9.632474,12.247218,0.37151843,9.005857
l71h0l,0,33,10.903712,9.200245,11.540987,-0.77422434,8.079866
l83e92,1,27,11.828523,10.839533,9.61107,1.3485208,10.039865
lcacxe,0,-1,10.886243,9.159422,10.611372,0.94789696,8.362727
l6zlb6,0,-1,10.137042,9.543303,11.273131,0.9353659,8.722691
l7a6ft,7,33,11.588931,9.656158,11.338468,-0.42933428,7.8608675
l71fua,0,-1,9.515028,9.527108,12.488761,0.52218765,8.18265
l6zd3k,0,-1,9.693281,9.636085,11.621592,0.36409152,8.878564
l791fb,4,-1,11.062717,8.845413,11.244104,-0.48996654,7.921897
l8lvr8,6,30,9.768087,10.63428,10.514016,0.90564084,8.016495
l70883,0,-1,11.498975,10.018424,11.03362,0.8340315,8.276466
l71i2i,0,-1,9.836149,10.871127,11.295147,-0.016168363,7.963232
l6ztqx,1,15,8.641794,11.779483,9.120163,0.3677209,7.94554
l6sft4,6,-1,9.544016,9.389878,11.317913,-1.0866908,7.5347257
layana,0,33,9.191991,9.898108,12.42099,0.12180522,8.147038
lahb2g,0,-1,10.974575,9.229315,11.914273,-0.88505363,8.532924
l9mkw3,2,-1,9.484008,9.319329,11.932908,0.6597552,8.980568
l7j0js,1,15,8.671095,12.210255,9.067132,0.45638448,8.449732
l70s48,0,-1,10.768514,9.621089,11.893542,-0.5886615,7.9949584
lbaktb,11,-1,9.366556,11.683211,11.419788,0.23940471,8.384438
l7v0wm,0,-1,10.738393,8.916137,11.038228,-0.61228144,8.454745
l6yynv,0,28,8.158061,9.224069,10.963449,-0.7540151,7.3589754
l72kly,0,15,8.61128,12.524808,9.143069,0.44337574,9.150146
lc5c14,1,33,9.636025,9.833109,12.2871065,-0.030122824,7.846927
l6rmkl,7,15,8.658977,12.41869,9.041852,0.40652484,8.841365
l85n88,3,25,11.06271,9.85285,10.558338,-0.20725693,10.340971
l6yw03,0,-1,9.714752,9.495369,11.619799,1.2615963,8.975565
l7gdix,0,33,11.360353,8.901848,10.837191,0.8259338,7.876772
l6wwgc,0,33,10.152921,9.603473,11.790996,0.0012788315,7.6056447
l84qsp,0,27,11.046611,10.917106,9.9023695,0.71756655,10.372296
lbgl3o,1,27,11.454868,10.929084,9.837499,1.1916436,10.071014
lbepxi,6,27,11.637104,10.572818,10.008494,-0.26744696,9.964022
lc52ml,2,33,11.718117,8.843276,11.052804,0.87103075,8.000281
l9nje2,7,23,11.833386,9.641352,10.088114,-1.2921605,10.308943
l7vf3i,0,33,10.550011,9.65699,10.628592,2.243511,8.373462
lc9nfv,0,15,7.910997,12.060891,8.961529,0.46202597,8.123007
l8cbgs,0,33,10.58673,9.615973,10.604113,2.0747328,8.275376
l7fh4e,0,33,8.7612,10.111306,12.457905,0.5001417,8.301967
l7282e,0,-1,10.490099,8.521501,11.419915,-0.23065898,8.563881
lb0ya3,0,33,10.308098,8.777325,11.474201,-0.5988538,8.198781
lbftmg,10,33,11.269605,9.774998,11.535441,-0.6746142,8.04309
l6x1mk,0,22,9.5279455,10.757799,10.0852375,1.3416133,6.582695
lc8vcd,0,-1,11.101252,10.004657,10.327316,1.6775825,8.440382
l71o58,0,-1,10.815153,9.465751,10.654177,1.4909297,8.375294
l6ji9t,0,15,8.33519,11.90681,9.127139,0.26540264,7.951971
l7121z,0,30,10.552037,9.5686455,9.699044,0.89391375,8.061464
la4roh,0,33,10.514772,9.092996,10.0972595,1.561225,8.217947
l6zv5m,0,-1,10.198286,9.008503,11.957364,0.02186378,8.154797
lbhmsd,3,-1,11.780622,10.460704,9.808291,0.09865372,10.30675
l71a68,0,-1,10.553889,10.325055,10.805095,0.30714062,9.968365
l7x6j1,2,33,11.231092,9.031441,11.664969,-0.9284961,8.601535
laj1lj,0,27,11.953261,10.953461,9.532339,1.18895,10.317184
l94yq8,0,30,9.858997,10.729721,9.91454,1.1100186,7.8591228
l6yzvx,0,-1,10.808513,9.530154,11.107905,0.74242157,7.8738084
l8a8r7,4,8,7.258725,9.0876875,10.687457,-1.049663,6.992744
l85n88,5,-1,11.228479,8.562923,11.19316,0.5020648,8.494344
l706tt,1,30,10.118491,10.246284,10.051434,0.6212512,7.7525744
l6zqjd,0,15,8.472528,12.207143,9.728606,0.5027748,8.613118
l6z025,1,-1,7.7732906,11.73379,9.862564,0.22094601,8.07974
l77ttn,0,33,10.3403845,8.808998,11.628903,1.087018,8.754543
l6yxc3,0,-1,9.889214,9.794152,9.614883,1.3580173,8.166928
l7248g,0,13,10.042675,11.353128,9.203833,1.448349,7.2345967
l9fg9g,0,-1,10.255098,10.837167,11.51153,0.97038996,8.59901
l759yn,1,28,7.921705,9.263108,11.232992,-1.3519403,6.784279
l6yyyx,0,-1,9.447583,10.890574,11.614827,-0.20208555,7.6820526
laj1lj,3,11,8.250434,10.317935,10.939362,0.4958766,7.0251384
l71sad,0,-1,11.70583,10.457859,10.1052885,0.24778329,10.216346
lbdchj,1,-1,9.792882,9.547877,11.353859,-0.36212352,7.710513
l6wuim,0,-1,10.805657,9.875485,10.78683,0.8633218,8.560573
l70l3s,0,33,9.772305,9.377096,11.681489,0.55780053,8.587415
l6zejq,0,-1,10.155232,10.962906,9.79874,1.8390329,8.20634
l7rx75,2,-1,10.737335,9.28177,11.094136,1.8909723,8.88846
l7a5sb,2,27,10.718683,10.557314,9.166294,-0.5197333,10.658623
lbgs9s,4,-1,8.948028,12.3073845,9.303308,0.02799696,9.559984
l6yxik,0,-1,11.725175,10.411012,9.803662,0.36957285,10.135386
l6wwws,0,-1,9.372601,10.013501,11.724278,0.40281725,8.40608
lc6m2z,2,33,11.389001,9.734728,11.343367,-0.36628702,7.868481
l730cp,0,-1,9.723593,9.824037,11.1334915,1.1278881,8.701968
